"Statistic Label","CensusYear","County","UNIT","VALUE"
"Population","2011","Ireland","Number","4588252"
"Population","2011","Co. Carlow","Number","54612"
"Population","2011","Co. Cavan","Number","73183"
"Population","2011","Co. Clare","Number","117196"
"Population","2011","Co. Cork","Number","519032"
"Population","2011","Co. Donegal","Number","161137"
"Population","2011","Co. Dublin","Number","1273069"
"Population","2011","Co. Galway","Number","250653"
"Population","2011","Co. Kerry","Number","145502"
"Population","2011","Co. Kildare","Number","210312"
"Population","2011","Co. Kilkenny","Number","95419"
"Population","2011","Co. Laois","Number","80559"
"Population","2011","Co. Leitrim","Number","31798"
"Population","2011","Co. Limerick","Number","191809"
"Population","2011","Co. Longford","Number","39000"
"Population","2011","Co. Louth","Number","122897"
"Population","2011","Co. Mayo","Number","130638"
"Population","2011","Co. Meath","Number","184135"
"Population","2011","Co. Monaghan","Number","60483"
"Population","2011","Co. Offaly","Number","76687"
"Population","2011","Co. Roscommon","Number","64065"
"Population","2011","Co. Sligo","Number","65393"
"Population","2011","Co. Tipperary","Number","158754"
"Population","2011","Co. Waterford","Number","113795"
"Population","2011","Co. Westmeath","Number","86164"
"Population","2011","Co. Wexford","Number","145320"
"Population","2011","Co. Wicklow","Number","136640"
"Population","2016","Ireland","Number","4761865"
"Population","2016","Co. Carlow","Number","56932"
"Population","2016","Co. Cavan","Number","76176"
"Population","2016","Co. Clare","Number","118817"
"Population","2016","Co. Cork","Number","542868"
"Population","2016","Co. Donegal","Number","159192"
"Population","2016","Co. Dublin","Number","1347359"
"Population","2016","Co. Galway","Number","258058"
"Population","2016","Co. Kerry","Number","147707"
"Population","2016","Co. Kildare","Number","222504"
"Population","2016","Co. Kilkenny","Number","99232"
"Population","2016","Co. Laois","Number","84697"
"Population","2016","Co. Leitrim","Number","32044"
"Population","2016","Co. Limerick","Number","194899"
"Population","2016","Co. Longford","Number","40873"
"Population","2016","Co. Louth","Number","128884"
"Population","2016","Co. Mayo","Number","130507"
"Population","2016","Co. Meath","Number","195044"
"Population","2016","Co. Monaghan","Number","61386"
"Population","2016","Co. Offaly","Number","77961"
"Population","2016","Co. Roscommon","Number","64544"
"Population","2016","Co. Sligo","Number","65535"
"Population","2016","Co. Tipperary","Number","159553"
"Population","2016","Co. Waterford","Number","116176"
"Population","2016","Co. Westmeath","Number","88770"
"Population","2016","Co. Wexford","Number","149722"
"Population","2016","Co. Wicklow","Number","142425"
"Population","2022","Ireland","Number","5123536"
"Population","2022","Co. Carlow","Number","61931"
"Population","2022","Co. Cavan","Number","81201"
"Population","2022","Co. Clare","Number","127419"
"Population","2022","Co. Cork","Number","581231"
"Population","2022","Co. Donegal","Number","166321"
"Population","2022","Co. Dublin","Number","1450701"
"Population","2022","Co. Galway","Number","276451"
"Population","2022","Co. Kerry","Number","155258"
"Population","2022","Co. Kildare","Number","246977"
"Population","2022","Co. Kilkenny","Number","103685"
"Population","2022","Co. Laois","Number","91657"
"Population","2022","Co. Leitrim","Number","35087"
"Population","2022","Co. Limerick","Number","205444"
"Population","2022","Co. Longford","Number","46634"
"Population","2022","Co. Louth","Number","139100"
"Population","2022","Co. Mayo","Number","137231"
"Population","2022","Co. Meath","Number","220296"
"Population","2022","Co. Monaghan","Number","64832"
"Population","2022","Co. Offaly","Number","82668"
"Population","2022","Co. Roscommon","Number","69995"
"Population","2022","Co. Sligo","Number","69819"
"Population","2022","Co. Tipperary","Number","167661"
"Population","2022","Co. Waterford","Number","127085"
"Population","2022","Co. Westmeath","Number","95840"
"Population","2022","Co. Wexford","Number","163527"
"Population","2022","Co. Wicklow","Number","155485"
